Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-09-15,Ballerina,2016,https://boxd.it/k5kpF,2.5,,,2017-09-14
2017-09-20,Hasan Minhaj: Homecoming King,2017,https://boxd.it/kcZE1,4,,,2017-09-19
2017-09-20,It,2017,https://boxd.it/kdgzx,4,,,2017-09-19
2017-09-22,A Goofy Movie,1995,https://boxd.it/kfRvr,3.5,Yes,,2017-09-21
2017-09-22,Home Again,2017,https://boxd.it/kg5Kv,1.5,,,2017-09-21
2017-09-22,The Hitman's Bodyguard,2017,https://boxd.it/kgugZ,3,,,2017-09-21
2017-09-26,Nausicaä of the Valley of the Wind,1984,https://boxd.it/knn13,5,Yes,,2017-09-25
2017-09-26,Afternoon Class,2015,https://boxd.it/knn2F,,,,2017-09-25
2017-09-26,The Centrifuge Brain Project,2012,https://boxd.it/knn3D,,,,2017-09-25
2017-09-26,Halloween III: Season of the Witch,1982,https://boxd.it/knLJD,2,,,2017-09-26
2017-09-28,Wall Street,1987,https://boxd.it/kqkK1,3,,,2017-09-27
2017-10-01,An Extremely Goofy Movie,2000,https://boxd.it/kuH1V,2.5,,,2017-10-01
2017-10-08,Hobo with a Shotgun,2011,https://boxd.it/kF26d,2.5,,,2017-10-04
2017-10-08,How to Train Your Dragon,2010,https://boxd.it/kF29B,5,,,2017-10-05
2017-10-08,Hurricane of Fun: The Making of Wet Hot,2015,https://boxd.it/kF2cb,,,,2017-10-06
2017-10-08,Trick or Treat,1952,https://boxd.it/kG1Ol,,,,2017-10-07
2017-10-08,How to Haunt a House,1999,https://boxd.it/kG1PD,,,,2017-10-07
2017-10-08,Lonesome Ghosts,1937,https://boxd.it/kG1QV,,,,2017-10-07
2017-10-08,Donald Duck and the Gorilla,1944,https://boxd.it/kG1S3,,,,2017-10-07
2017-10-08,Mickey's House of Villains,2002,https://boxd.it/kG1T1,,,,2017-10-07
2017-10-10,Matilda,1996,https://boxd.it/kJxoZ,4,Yes,,2017-10-10
2017-10-11,The Giant Gila Monster,1959,https://boxd.it/kKtJh,,,,2017-10-10
2017-10-13,American Made,2017,https://boxd.it/kNJlB,2.5,,,2017-10-12
2017-10-14,Video Games: The Movie,2014,https://boxd.it/kPo3b,2.5,,,2017-10-13
2017-10-14,Atari: Game Over,2014,https://boxd.it/kPu1l,3,,,2017-10-13
2017-10-15,Pet Sematary,1989,https://boxd.it/kRwnn,,,,2017-10-15
2017-10-16,The Lego Ninjago Movie,2017,https://boxd.it/kSZ5p,3,,,2017-10-15
2017-10-17,Happy Death Day,2017,https://boxd.it/kUKXZ,3,,,2017-10-16
2017-10-18,My Life as a Zucchini,2016,https://boxd.it/kVRF1,3.5,,,2017-10-17
2017-10-21,Victoria & Abdul,2017,https://boxd.it/kZOmj,2,,,2017-10-20
2017-10-26,Night of the Living Dead,1968,https://boxd.it/l8ugD,4,Yes,,2017-10-25
2017-10-29,Battle of the Sexes,2017,https://boxd.it/lcRPT,3,,,2017-10-28
2017-10-29,Hocus Pocus,1993,https://boxd.it/lcVvD,4,Yes,,2017-10-29
2017-10-30,Spirited Away,2001,https://boxd.it/ldLgb,5,Yes,,2017-10-29
2017-10-30,Little Shop of Horrors,1986,https://boxd.it/leAjb,4,Yes,,2017-10-29
2017-11-01,It Follows,2014,https://boxd.it/lgYWb,4,Yes,,2017-10-31
2017-11-01,ParaNorman,2012,https://boxd.it/lgYWZ,4.5,Yes,,2017-10-31
2017-11-01,The Haunting in Connecticut,2009,https://boxd.it/lhzF7,1,,,2017-10-31
2017-11-01,Over the Garden Wall,2014,https://boxd.it/lhEz9,5,Yes,,2017-11-01
2017-11-02,Stick Man,2015,https://boxd.it/ljfpd,,,,2017-11-02
2017-11-03,The Book of Life,2014,https://boxd.it/ll1UP,5,Yes,,2017-11-03
2017-11-04,Stand by Me,1986,https://boxd.it/llOGd,4,,,2017-11-03
2017-11-04,Suburbicon,2017,https://boxd.it/lmdE7,2.5,,,2017-11-03
2017-11-04,Time Chasers,1994,https://boxd.it/lme7j,,,,2017-11-03
2017-11-08,Thor: Ragnarok,2017,https://boxd.it/lt7oL,4,,,2017-11-07
2017-11-15,Loving Vincent,2017,https://boxd.it/lCQsV,3,,,2017-11-10
2017-11-15,Murder on the Orient Express,1974,https://boxd.it/lCQxr,4,,,2017-11-14
2017-11-15,Pokémon the Movie: I Choose You!,2017,https://boxd.it/lDwMD,0.5,,,2017-11-14
2017-11-16,Gremlins,1984,https://boxd.it/lF4fP,3,Yes,,2017-11-15
2017-11-18,Justice League,2017,https://boxd.it/lI9md,2,,,2017-11-17
